project_id,project_name,state,district,project_type,land_area_hectares,affected_families,compensation_status,compensation_disbursed_pct,approval_stage,days_since_notification,legal_disputes_count,legal_dispute_status,possession_status,rehabilitation_progress_pct,stakeholder_responsiveness_score,historical_district_delay_rate,inter_department_coordination_issues,project_start_date,planned_duration_days,expected_completion_date,delay_probability,actual_delay_days,risk_category
LA-0107,Railway Line Project Aurangabad-107,Maharashtra,Aurangabad,Railway Line,44.6,64,Partially Disbursed,53.5,Notification (Sec 11),1498,1,Ongoing - Lower Court,Not Started,82.5,5.5,0.63,Low,2023-01-05,730,2025-01-04,0.742,346,High
LA-0108,Irrigation Canal Project Bhubaneswar-108,Odisha,Bhubaneswar,Irrigation Canal,68.0,216,Partially Disbursed,34.6,Possession Complete,390,3,Ongoing - High Court,Not Started,42.1,6.7,0.43,Low,2023-02-23,1460,2027-02-22,0.937,480,High
LA-0109,SEZ Development Project Kota-109,Rajasthan,Kota,SEZ Development,75.2,104,Not Disbursed,5.9,Possession Initiated,463,1,Ongoing - Supreme Court,Partially Complete,43.0,8.9,0.18,Medium,2023-08-11,730,2025-08-10,0.588,371,Medium
LA-0110,State Highway Project Bengaluru-110,Karnataka,Bengaluru,State Highway,35.48,334,Partially Disbursed,64.6,Award Declared,1215,0,None,Fully Complete,61.0,2.2,0.38,Low,2023-05-19,730,2025-05-18,0.198,295,Low
LA-0111,Irrigation Canal Project Coimbatore-111,Tamil Nadu,Coimbatore,Irrigation Canal,37.6,113,Fully Disbursed,92.7,Possession Initiated,326,0,None,Not Started,48.8,1.3,0.69,Low,2023-01-06,1460,2027-01-05,0.469,228,Medium
LA-0112,Power Transmission Line Project Muzaffarpur-112,Bihar,Muzaffarpur,Power Transmission Line,10.49,52,Not Disbursed,6.6,Rehabilitation Ongoing,88,1,Resolved in Favor,Not Started,65.4,2.8,0.37,Medium,2021-04-11,1460,2025-04-10,0.653,491,High
LA-0113,Irrigation Canal Project Coimbatore-113,Tamil Nadu,Coimbatore,Irrigation Canal,41.99,172,Partially Disbursed,26.9,Award Declared,484,0,None,Not Started,86.0,7.5,0.62,Low,2022-05-29,545,2023-11-25,0.375,246,Medium
LA-0114,Power Transmission Line Project Pune-114,Maharashtra,Pune,Power Transmission Line,22.96,142,Fully Disbursed,98.5,Notification (Sec 11),288,1,Resolved Against,Partially Complete,6.2,5.6,0.75,Low,2022-08-28,730,2024-08-27,0.522,397,Medium
LA-0115,Irrigation Canal Project Bhubaneswar-115,Odisha,Bhubaneswar,Irrigation Canal,26.17,66,Not Disbursed,7.6,Possession Complete,310,2,Ongoing - Supreme Court,Partially Complete,6.5,5.2,0.53,High,2021-12-03,730,2023-12-03,0.98,610,High
LA-0116,Industrial Corridor Project Coimbatore-116,Tamil Nadu,Coimbatore,Industrial Corridor,20.58,132,Fully Disbursed,99.6,Possession Initiated,454,2,Ongoing - Lower Court,Not Started,79.8,4.6,0.23,High,2023-03-25,1460,2027-03-24,0.768,443,High
LA-0117,Urban Metro Project Ahmedabad-117,Gujarat,Ahmedabad,Urban Metro,53.09,63,Not Disbursed,8.6,Possession Complete,264,1,Ongoing - Lower Court,Partially Complete,44.0,6.5,0.37,Medium,2022-06-21,1460,2026-06-20,0.66,449,High
LA-0118,Industrial Corridor Project Rourkela-118,Odisha,Rourkela,Industrial Corridor,38.08,185,Not Disbursed,6.3,SIA Completed,138,1,Resolved in Favor,Not Started,71.9,9.0,0.41,High,2024-02-24,730,2026-02-23,0.766,347,High
LA-0119,State Highway Project Kolkata-119,West Bengal,Kolkata,State Highway,48.88,105,Partially Disbursed,33.6,Possession Initiated,365,1,Ongoing - Supreme Court,Partially Complete,33.5,2.6,0.65,Low,2021-04-03,365,2022-04-03,0.792,494,High
LA-0120,State Highway Project Gaya-120,Bihar,Gaya,State Highway,34.43,98,Not Disbursed,4.5,Possession Complete,93,2,Ongoing - High Court,Partially Complete,12.6,7.1,0.64,Low,2024-01-12,1095,2027-01-11,0.947,424,High
LA-0121,Railway Line Project Siliguri-121,West Bengal,Siliguri,Railway Line,30.94,195,Fully Disbursed,95.1,Rehabilitation Ongoing,170,0,None,Not Started,65.3,9.4,0.35,Medium,2023-04-16,730,2025-04-15,0.165,222,Low
LA-0122,Industrial Corridor Project Meerut-122,Uttar Pradesh,Meerut,Industrial Corridor,57.65,283,Not Disbursed,6.7,Possession Initiated,73,1,Ongoing - High Court,Fully Complete,97.7,2.0,0.11,Low,2023-01-23,1460,2027-01-22,0.449,291,Medium
LA-0123,Urban Metro Project Ahmedabad-123,Gujarat,Ahmedabad,Urban Metro,48.7,153,Not Disbursed,2.9,Notification (Sec 11),774,1,Resolved in Favor,Not Started,70.4,5.9,0.37,Low,2024-05-07,365,2025-05-07,0.602,293,Medium
LA-0124,Irrigation Canal Project Lucknow-124,Uttar Pradesh,Lucknow,Irrigation Canal,39.53,104,Fully Disbursed,97.4,Possession Complete,570,1,Ongoing - High Court,Not Started,7.9,3.2,0.58,High,2022-03-01,1460,2026-02-28,0.925,525,High
LA-0125,Industrial Corridor Project Jodhpur-125,Rajasthan,Jodhpur,Industrial Corridor,21.31,159,Fully Disbursed,98.8,Possession Complete,665,0,None,Not Started,43.5,8.0,0.85,High,2021-10-24,545,2023-04-22,0.524,348,Medium
LA-0126,Railway Line Project Mysuru-126,Karnataka,Mysuru,Railway Line,116.9,48,Not Disbursed,7.0,Notification (Sec 11),342,2,Ongoing - High Court,Not Started,74.4,5.6,0.32,High,2022-05-03,1460,2026-05-02,0.937,501,High
LA-0127,Railway Line Project Ahmedabad-127,Gujarat,Ahmedabad,Railway Line,24.43,38,Not Disbursed,1.4,SIA Completed,349,1,Resolved in Favor,Partially Complete,20.7,5.6,0.14,Medium,2023-09-03,1095,2026-09-02,0.464,263,Medium
LA-0128,Airport Expansion Project Ahmedabad-128,Gujarat,Ahmedabad,Airport Expansion,48.34,325,Partially Disbursed,39.8,Possession Complete,191,1,Ongoing - Lower Court,Partially Complete,49.4,7.3,0.49,High,2023-12-04,730,2025-12-03,0.663,255,High
LA-0129,National Highway Project Madurai-129,Tamil Nadu,Madurai,National Highway,10.09,27,Not Disbursed,6.1,Possession Initiated,465,0,None,Fully Complete,38.4,5.1,0.36,Medium,2021-08-10,1095,2024-08-09,0.272,213,Low
LA-0130,State Highway Project Chennai-130,Tamil Nadu,Chennai,State Highway,90.04,88,Partially Disbursed,80.6,SIA Completed,154,0,None,Not Started,63.6,9.2,0.66,Low,2024-07-20,1460,2028-07-19,0.195,252,Low
LA-0131,Industrial Corridor Project Hubballi-131,Karnataka,Hubballi,Industrial Corridor,26.8,174,Partially Disbursed,20.7,Possession Complete,73,1,Resolved Against,Not Started,12.3,6.0,0.35,Medium,2023-06-01,365,2024-05-31,0.951,416,High
LA-0132,Irrigation Canal Project Thane-132,Maharashtra,Thane,Irrigation Canal,68.76,182,Partially Disbursed,30.7,SIA Completed,336,3,Resolved in Favor,Not Started,31.9,6.2,0.67,Medium,2023-05-02,365,2024-05-01,0.951,434,High
LA-0133,Industrial Corridor Project Rajkot-133,Gujarat,Rajkot,Industrial Corridor,71.0,286,Partially Disbursed,20.7,Award Declared,176,1,Ongoing - High Court,Partially Complete,34.1,1.6,0.39,Medium,2021-07-06,365,2022-07-06,0.677,331,High
LA-0134,State Highway Project Aurangabad-134,Maharashtra,Aurangabad,State Highway,68.59,379,Fully Disbursed,96.9,Award Declared,402,2,Ongoing - High Court,Partially Complete,3.9,1.3,0.28,Medium,2024-02-25,1460,2028-02-24,0.75,357,High
LA-0135,Urban Metro Project Ahmedabad-135,Gujarat,Ahmedabad,Urban Metro,10.09,99,Partially Disbursed,33.5,Rehabilitation Ongoing,921,0,None,Fully Complete,96.1,4.5,0.51,Medium,2021-04-16,730,2023-04-16,0.154,110,Low
LA-0136,Industrial Corridor Project Howrah-136,West Bengal,Howrah,Industrial Corridor,17.3,148,Not Disbursed,7.6,Possession Complete,159,0,None,Not Started,34.2,3.4,0.32,Medium,2022-04-05,365,2023-04-05,0.589,387,Medium
LA-0137,State Highway Project Vadodara-137,Gujarat,Vadodara,State Highway,68.47,19,Fully Disbursed,94.0,Possession Complete,882,0,None,Not Started,39.5,1.4,0.74,Medium,2024-02-23,1460,2028-02-22,0.88,341,High
LA-0138,Dam/Reservoir Project Siliguri-138,West Bengal,Siliguri,Dam/Reservoir,46.54,187,Not Disbursed,1.3,Rehabilitation Ongoing,236,1,Ongoing - Supreme Court,Not Started,46.3,9.8,0.58,Low,2022-09-25,730,2024-09-24,0.886,441,High
LA-0139,Railway Line Project Ahmedabad-139,Gujarat,Ahmedabad,Railway Line,10.39,310,Fully Disbursed,95.1,Possession Complete,335,0,None,Partially Complete,82.8,7.9,0.53,Low,2024-07-20,365,2025-07-20,0.085,129,Low
LA-0140,Irrigation Canal Project Thane-140,Maharashtra,Thane,Irrigation Canal,36.41,293,Partially Disbursed,76.3,Possession Initiated,354,2,Ongoing - Supreme Court,Not Started,47.7,7.2,0.59,Low,2022-10-27,1460,2026-10-26,0.887,425,High
LA-0141,National Highway Project Kolkata-141,West Bengal,Kolkata,National Highway,24.35,78,Not Disbursed,9.6,Possession Complete,761,1,Ongoing - Lower Court,Partially Complete,1.4,7.6,0.53,Low,2023-05-19,1095,2026-05-18,0.596,402,Medium
LA-0142,Urban Metro Project Howrah-142,West Bengal,Howrah,Urban Metro,27.15,297,Not Disbursed,6.1,Possession Complete,689,0,None,Not Started,40.7,1.6,0.33,Medium,2022-08-04,1460,2026-08-03,0.7,251,High
LA-0143,Power Transmission Line Project Madurai-143,Tamil Nadu,Madurai,Power Transmission Line,45.46,347,Not Disbursed,0.5,Possession Initiated,417,0,None,Fully Complete,28.1,8.2,0.43,Low,2022-02-23,730,2024-02-23,0.185,218,Low
LA-0144,Power Transmission Line Project Jodhpur-144,Rajasthan,Jodhpur,Power Transmission Line,57.61,210,Not Disbursed,6.0,Notification (Sec 11),131,1,Ongoing - Lower Court,Partially Complete,44.9,6.3,0.35,Medium,2021-09-22,1095,2024-09-21,0.66,306,High
LA-0145,Irrigation Canal Project Hubballi-145,Karnataka,Hubballi,Irrigation Canal,62.38,188,Partially Disbursed,20.7,Rehabilitation Ongoing,602,1,Ongoing - Supreme Court,Not Started,13.4,6.7,0.36,High,2021-03-28,1095,2024-03-27,0.972,541,High
LA-0146,State Highway Project Varanasi-146,Uttar Pradesh,Varanasi,State Highway,19.66,237,Fully Disbursed,92.7,Possession Complete,194,0,None,Partially Complete,78.9,9.0,0.58,Medium,2023-05-06,730,2025-05-05,0.088,189,Low
LA-0147,National Highway Project Aurangabad-147,Maharashtra,Aurangabad,National Highway,37.52,126,Fully Disbursed,90.0,SIA Completed,1439,3,Resolved Against,Partially Complete,95.1,7.3,0.36,Medium,2023-01-12,365,2024-01-12,0.639,392,Medium
LA-0148,Irrigation Canal Project Bhubaneswar-148,Odisha,Bhubaneswar,Irrigation Canal,77.33,180,Partially Disbursed,44.3,Possession Initiated,377,0,None,Partially Complete,5.2,7.9,0.64,Low,2022-09-28,730,2024-09-27,0.093,203,Low
LA-0149,Railway Line Project Udaipur-149,Rajasthan,Udaipur,Railway Line,53.02,272,Not Disbursed,6.8,Rehabilitation Ongoing,392,2,Ongoing - Lower Court,Partially Complete,64.5,4.6,0.31,Low,2022-12-17,730,2024-12-16,0.848,393,High
LA-0150,State Highway Project Indore-150,Madhya Pradesh,Indore,State Highway,56.67,22,Not Disbursed,0.1,SIA Completed,456,0,None,Not Started,41.4,5.4,0.57,Low,2021-06-04,545,2022-12-01,0.129,238,Low
LA-0151,SEZ Development Project Coimbatore-151,Tamil Nadu,Coimbatore,SEZ Development,40.37,135,Fully Disbursed,97.7,Possession Initiated,619,1,Resolved Against,Partially Complete,1.7,7.9,0.41,High,2022-10-24,730,2024-10-23,0.596,396,Medium
LA-0152,State Highway Project Gwalior-152,Madhya Pradesh,Gwalior,State Highway,24.43,41,Partially Disbursed,58.5,Rehabilitation Ongoing,99,0,None,Not Started,89.9,8.0,0.42,Low,2021-04-26,730,2023-04-26,0.3,155,Low
LA-0153,Power Transmission Line Project Bengaluru-153,Karnataka,Bengaluru,Power Transmission Line,22.94,70,Partially Disbursed,45.5,Notification (Sec 11),208,3,Ongoing - Lower Court,Partially Complete,96.3,1.7,0.26,Low,2021-07-04,1460,2025-07-03,0.688,372,High
LA-0154,Urban Metro Project Siliguri-154,West Bengal,Siliguri,Urban Metro,32.71,178,Partially Disbursed,57.7,Possession Complete,1059,0,None,Fully Complete,34.5,9.3,0.41,Medium,2021-03-26,1095,2024-03-25,0.036,121,Low
LA-0155,Irrigation Canal Project Siliguri-155,West Bengal,Siliguri,Irrigation Canal,57.19,64,Partially Disbursed,49.7,Possession Initiated,1520,1,Resolved Against,Not Started,27.5,8.3,0.78,Low,2021-07-31,730,2023-07-31,0.491,271,Medium
LA-0156,Railway Line Project Thane-156,Maharashtra,Thane,Railway Line,38.0,33,Not Disbursed,8.4,Rehabilitation Ongoing,336,0,None,Partially Complete,96.1,2.8,0.21,Medium,2023-12-07,1460,2027-12-06,0.382,419,Medium
LA-0157,Industrial Corridor Project Jabalpur-157,Madhya Pradesh,Jabalpur,Industrial Corridor,15.04,150,Fully Disbursed,99.4,Possession Initiated,430,2,Resolved in Favor,Fully Complete,16.2,5.3,0.31,Medium,2021-04-18,730,2023-04-18,0.41,374,Medium
LA-0158,State Highway Project Nashik-158,Maharashtra,Nashik,State Highway,76.25,352,Partially Disbursed,10.7,Possession Initiated,542,0,None,Not Started,63.4,3.0,0.58,Medium,2024-05-19,545,2025-11-15,0.491,330,Medium
LA-0159,SEZ Development Project Ahmedabad-159,Gujarat,Ahmedabad,SEZ Development,46.87,131,Partially Disbursed,31.7,Award Declared,278,1,Ongoing - Supreme Court,Fully Complete,76.1,4.3,0.66,Medium,2023-03-14,545,2024-09-09,0.733,261,High
LA-0160,State Highway Project Siliguri-160,West Bengal,Siliguri,State Highway,70.1,179,Partially Disbursed,28.0,Possession Initiated,86,0,None,Partially Complete,50.6,3.0,0.48,Low,2021-09-19,1460,2025-09-18,0.305,176,Low
LA-0161,Dam/Reservoir Project Aurangabad-161,Maharashtra,Aurangabad,Dam/Reservoir,110.91,379,Partially Disbursed,77.1,Award Declared,451,0,None,Not Started,78.0,5.3,0.23,High,2022-12-01,1095,2025-11-30,0.283,192,Low
LA-0162,Railway Line Project Jodhpur-162,Rajasthan,Jodhpur,Railway Line,49.58,98,Not Disbursed,0.7,Award Declared,576,2,Ongoing - Lower Court,Partially Complete,69.4,7.9,0.31,Medium,2023-12-15,365,2024-12-14,0.845,412,High
LA-0163,SEZ Development Project Surat-163,Gujarat,Surat,SEZ Development,71.72,87,Partially Disbursed,10.0,SIA Completed,390,0,None,Not Started,97.3,3.0,0.29,Medium,2024-07-03,545,2025-12-30,0.444,327,Medium
LA-0164,Urban Metro Project Chennai-164,Tamil Nadu,Chennai,Urban Metro,17.94,108,Partially Disbursed,63.4,Rehabilitation Ongoing,900,0,None,Not Started,90.2,8.3,0.67,Medium,2022-08-07,1095,2025-08-06,0.124,156,Low
LA-0165,Power Transmission Line Project Jodhpur-165,Rajasthan,Jodhpur,Power Transmission Line,45.86,64,Fully Disbursed,90.4,Possession Initiated,609,1,Ongoing - High Court,Partially Complete,71.4,7.8,0.45,High,2023-06-22,1095,2026-06-21,0.446,149,Medium
LA-0166,Dam/Reservoir Project Gaya-166,Bihar,Gaya,Dam/Reservoir,43.97,196,Partially Disbursed,79.1,SIA Completed,773,1,Ongoing - High Court,Fully Complete,80.7,2.8,0.26,Low,2022-05-28,365,2023-05-28,0.066,275,Low
LA-0167,Dam/Reservoir Project Coimbatore-167,Tamil Nadu,Coimbatore,Dam/Reservoir,67.64,132,Fully Disbursed,97.3,Rehabilitation Ongoing,671,0,None,Fully Complete,83.9,1.1,0.22,High,2022-08-07,365,2023-08-07,0.157,258,Low
LA-0168,Airport Expansion Project Jabalpur-168,Madhya Pradesh,Jabalpur,Airport Expansion,55.81,423,Fully Disbursed,95.5,SIA Completed,429,0,None,Fully Complete,86.5,2.4,0.28,Low,2022-03-31,1095,2025-03-30,0.02,121,Low
LA-0169,Urban Metro Project Ahmedabad-169,Gujarat,Ahmedabad,Urban Metro,63.3,217,Not Disbursed,8.3,Possession Complete,113,0,None,Partially Complete,54.9,3.6,0.3,Low,2021-06-17,730,2023-06-17,0.117,125,Low
LA-0170,Industrial Corridor Project Jaipur-170,Rajasthan,Jaipur,Industrial Corridor,73.91,74,Fully Disbursed,96.9,Rehabilitation Ongoing,369,0,None,Partially Complete,37.4,9.5,0.66,High,2021-10-09,365,2022-10-09,0.214,197,Low
LA-0171,Railway Line Project Gaya-171,Bihar,Gaya,Railway Line,54.17,95,Fully Disbursed,99.8,Possession Initiated,506,1,Resolved in Favor,Partially Complete,97.1,2.0,0.68,High,2021-02-08,730,2023-02-08,0.475,268,Medium
LA-0172,Dam/Reservoir Project Jodhpur-172,Rajasthan,Jodhpur,Dam/Reservoir,97.83,30,Fully Disbursed,92.9,Possession Complete,240,2,Resolved Against,Partially Complete,7.6,9.6,0.37,High,2022-05-02,730,2024-05-01,0.642,452,Medium
LA-0173,Irrigation Canal Project Pune-173,Maharashtra,Pune,Irrigation Canal,82.64,297,Partially Disbursed,30.3,Possession Complete,836,1,Resolved in Favor,Not Started,15.5,9.5,0.53,High,2023-10-21,1460,2027-10-20,0.777,405,High
LA-0174,Dam/Reservoir Project Bengaluru-174,Karnataka,Bengaluru,Dam/Reservoir,15.51,62,Partially Disbursed,29.0,Rehabilitation Ongoing,1238,0,None,Not Started,84.0,2.7,0.32,Medium,2024-06-13,730,2026-06-13,0.527,332,Medium
LA-0175,Railway Line Project Kota-175,Rajasthan,Kota,Railway Line,44.83,93,Partially Disbursed,54.2,Notification (Sec 11),83,0,None,Partially Complete,71.4,1.8,0.49,Low,2023-12-14,1460,2027-12-13,0.195,198,Low
LA-0176,Dam/Reservoir Project Hubballi-176,Karnataka,Hubballi,Dam/Reservoir,25.36,398,Not Disbursed,6.7,Possession Initiated,326,3,Ongoing - Lower Court,Partially Complete,20.0,6.6,0.58,High,2022-06-04,365,2023-06-04,0.98,533,High
LA-0177,Industrial Corridor Project Ahmedabad-177,Gujarat,Ahmedabad,Industrial Corridor,40.94,149,Not Disbursed,2.7,Rehabilitation Ongoing,716,1,Ongoing - Lower Court,Fully Complete,63.0,3.2,0.36,Medium,2022-11-12,545,2024-05-10,0.918,545,High
LA-0178,Dam/Reservoir Project Lucknow-178,Uttar Pradesh,Lucknow,Dam/Reservoir,24.01,89,Partially Disbursed,47.7,Rehabilitation Ongoing,66,1,Ongoing - High Court,Fully Complete,76.4,4.7,0.26,Medium,2023-09-08,545,2025-03-06,0.531,316,Medium
LA-0179,Airport Expansion Project Bhopal-179,Madhya Pradesh,Bhopal,Airport Expansion,33.53,197,Not Disbursed,8.1,SIA Completed,163,0,None,Not Started,25.0,5.6,0.13,Low,2021-03-27,730,2023-03-27,0.385,355,Medium
LA-0180,Urban Metro Project Muzaffarpur-180,Bihar,Muzaffarpur,Urban Metro,29.62,198,Fully Disbursed,95.1,Possession Complete,339,1,Resolved in Favor,Not Started,39.3,6.0,0.24,High,2022-01-27,730,2024-01-27,0.363,323,Medium
LA-0181,Industrial Corridor Project Ahmedabad-181,Gujarat,Ahmedabad,Industrial Corridor,64.54,181,Not Disbursed,6.1,Award Declared,644,1,Resolved in Favor,Fully Complete,11.8,2.5,0.47,Medium,2023-03-03,730,2025-03-02,0.914,405,High
LA-0182,Airport Expansion Project Gwalior-182,Madhya Pradesh,Gwalior,Airport Expansion,51.34,112,Partially Disbursed,28.4,Possession Complete,324,0,None,Not Started,22.0,9.6,0.6,Low,2023-05-20,365,2024-05-19,0.48,242,Medium
LA-0183,Railway Line Project Rourkela-183,Odisha,Rourkela,Railway Line,9.36,279,Partially Disbursed,40.9,Award Declared,858,1,Ongoing - Lower Court,Not Started,60.6,2.1,0.32,Medium,2022-09-20,1095,2025-09-19,0.777,333,High
LA-0184,Urban Metro Project Siliguri-184,West Bengal,Siliguri,Urban Metro,58.16,120,Not Disbursed,4.2,Possession Initiated,476,1,Ongoing - Supreme Court,Partially Complete,62.8,7.2,0.49,Medium,2022-12-24,1460,2026-12-23,0.916,496,High
LA-0185,National Highway Project Cuttack-185,Odisha,Cuttack,National Highway,50.31,13,Not Disbursed,4.5,Rehabilitation Ongoing,359,1,Resolved in Favor,Partially Complete,38.8,8.2,0.44,High,2021-11-24,365,2022-11-24,0.557,405,Medium
LA-0186,National Highway Project Gwalior-186,Madhya Pradesh,Gwalior,National Highway,44.88,83,Not Disbursed,8.0,SIA Completed,57,0,None,Fully Complete,37.3,1.6,0.54,Low,2023-02-24,1460,2027-02-23,0.212,136,Low
LA-0187,Railway Line Project Kanpur-187,Uttar Pradesh,Kanpur,Railway Line,66.24,313,Partially Disbursed,59.6,Award Declared,509,1,Ongoing - Supreme Court,Partially Complete,78.2,7.8,0.68,Low,2021-10-09,1460,2025-10-08,0.511,412,Medium
LA-0188,Industrial Corridor Project Rajkot-188,Gujarat,Rajkot,Industrial Corridor,50.9,62,Partially Disbursed,24.6,SIA Completed,542,1,Ongoing - Lower Court,Not Started,88.9,6.2,0.48,Low,2023-11-27,1095,2026-11-26,0.387,333,Medium
LA-0189,Power Transmission Line Project Bengaluru-189,Karnataka,Bengaluru,Power Transmission Line,102.7,112,Fully Disbursed,92.1,Rehabilitation Ongoing,755,0,None,Partially Complete,7.7,7.3,0.43,High,2022-08-08,1095,2025-08-07,0.363,261,Medium
LA-0190,Railway Line Project Jaipur-190,Rajasthan,Jaipur,Railway Line,73.75,204,Fully Disbursed,96.4,Possession Initiated,140,1,Ongoing - High Court,Fully Complete,59.5,3.4,0.32,Medium,2021-06-29,730,2023-06-29,0.584,353,Medium
LA-0191,Dam/Reservoir Project Ahmedabad-191,Gujarat,Ahmedabad,Dam/Reservoir,60.12,228,Partially Disbursed,37.6,Award Declared,540,1,Ongoing - High Court,Partially Complete,89.8,9.0,0.22,High,2021-12-23,730,2023-12-23,0.604,334,Medium
LA-0192,State Highway Project Bengaluru-192,Karnataka,Bengaluru,State Highway,29.57,211,Fully Disbursed,93.3,SIA Completed,711,1,Ongoing - High Court,Fully Complete,4.0,4.7,0.54,Low,2024-02-09,1460,2028-02-08,0.636,294,Medium
LA-0193,Dam/Reservoir Project Rajkot-193,Gujarat,Rajkot,Dam/Reservoir,10.01,211,Not Disbursed,0.1,Notification (Sec 11),554,2,Ongoing - Lower Court,Not Started,58.1,9.9,0.61,High,2023-09-08,1460,2027-09-07,0.895,567,High
LA-0194,SEZ Development Project Cuttack-194,Odisha,Cuttack,SEZ Development,23.12,362,Not Disbursed,9.3,Award Declared,463,2,Ongoing - Lower Court,Partially Complete,59.3,1.5,0.74,Medium,2022-12-07,545,2024-06-04,0.9,432,High
LA-0195,SEZ Development Project Hubballi-195,Karnataka,Hubballi,SEZ Development,88.38,133,Not Disbursed,7.0,SIA Completed,125,1,Resolved in Favor,Partially Complete,17.9,7.3,0.75,High,2021-09-12,1460,2025-09-11,0.675,367,High
LA-0196,Railway Line Project Jabalpur-196,Madhya Pradesh,Jabalpur,Railway Line,48.99,194,Not Disbursed,8.4,Rehabilitation Ongoing,1010,1,Ongoing - High Court,Not Started,15.4,6.2,0.51,High,2022-08-05,365,2023-08-05,0.953,597,High
LA-0197,Dam/Reservoir Project Patna-197,Bihar,Patna,Dam/Reservoir,92.23,66,Not Disbursed,8.8,Rehabilitation Ongoing,370,2,Ongoing - Supreme Court,Partially Complete,73.7,3.6,0.49,Low,2021-12-12,1460,2025-12-11,0.98,536,High
LA-0198,Railway Line Project Kolkata-198,West Bengal,Kolkata,Railway Line,37.13,86,Partially Disbursed,73.9,Rehabilitation Ongoing,356,0,None,Fully Complete,7.1,2.9,0.42,Low,2024-02-29,365,2025-02-28,0.02,119,Low
LA-0199,National Highway Project Ghaziabad-199,Uttar Pradesh,Ghaziabad,National Highway,33.42,23,Fully Disbursed,92.3,Possession Complete,284,0,None,Not Started,35.5,7.1,0.39,Low,2024-03-17,1095,2027-03-17,0.157,258,Low
LA-0200,National Highway Project Siliguri-200,West Bengal,Siliguri,National Highway,31.39,130,Partially Disbursed,70.3,Rehabilitation Ongoing,198,1,Resolved Against,Not Started,62.4,3.5,0.32,High,2023-09-17,545,2025-03-15,0.783,299,High
LA-0201,Airport Expansion Project Cuttack-201,Odisha,Cuttack,Airport Expansion,31.11,121,Not Disbursed,7.3,Notification (Sec 11),243,1,Ongoing - High Court,Partially Complete,53.8,8.6,0.27,Medium,2022-02-22,730,2024-02-22,0.519,431,Medium
LA-0202,Industrial Corridor Project Kolkata-202,West Bengal,Kolkata,Industrial Corridor,38.2,308,Fully Disbursed,93.3,Award Declared,396,1,Ongoing - Supreme Court,Fully Complete,19.6,9.6,0.49,Low,2023-01-29,1460,2027-01-28,0.035,169,Low
LA-0203,Industrial Corridor Project Bengaluru-203,Karnataka,Bengaluru,Industrial Corridor,148.38,166,Not Disbursed,6.6,Notification (Sec 11),93,0,None,Not Started,21.9,2.6,0.37,Low,2021-07-18,365,2022-07-18,0.712,305,High
LA-0204,SEZ Development Project Gaya-204,Bihar,Gaya,SEZ Development,45.65,85,Partially Disbursed,73.4,SIA Completed,933,1,Ongoing - Supreme Court,Fully Complete,21.8,8.9,0.32,Medium,2022-01-24,545,2023-07-23,0.24,279,Low
LA-0205,Airport Expansion Project Madurai-205,Tamil Nadu,Madurai,Airport Expansion,78.29,119,Partially Disbursed,46.5,Award Declared,139,0,None,Partially Complete,20.8,3.1,0.44,Low,2023-03-17,1460,2027-03-16,0.448,390,Medium
LA-0206,Irrigation Canal Project Chennai-206,Tamil Nadu,Chennai,Irrigation Canal,35.17,88,Partially Disbursed,39.8,Notification (Sec 11),251,2,Ongoing - Lower Court,Not Started,50.1,1.5,0.28,Medium,2023-08-22,730,2025-08-21,0.951,441,High
LA-0207,State Highway Project Bengaluru-207,Karnataka,Bengaluru,State Highway,77.17,112,Partially Disbursed,27.8,Award Declared,258,0,None,Partially Complete,17.3,4.4,0.5,High,2023-01-20,365,2024-01-20,0.451,410,Medium
LA-0208,SEZ Development Project Bhubaneswar-208,Odisha,Bhubaneswar,SEZ Development,28.27,173,Partially Disbursed,52.4,Award Declared,242,1,Resolved Against,Not Started,77.5,3.1,0.43,Low,2023-07-12,1460,2027-07-11,0.693,357,High
LA-0209,SEZ Development Project Muzaffarpur-209,Bihar,Muzaffarpur,SEZ Development,42.29,161,Not Disbursed,6.1,Notification (Sec 11),533,0,None,Partially Complete,96.3,1.1,0.53,High,2022-11-26,1460,2026-11-25,0.731,479,High
LA-0210,Irrigation Canal Project Surat-210,Gujarat,Surat,Irrigation Canal,18.83,40,Partially Disbursed,35.8,Possession Initiated,659,0,None,Partially Complete,16.3,6.4,0.42,Low,2021-10-08,730,2023-10-08,0.115,58,Low
LA-0211,Airport Expansion Project Madurai-211,Tamil Nadu,Madurai,Airport Expansion,35.59,25,Not Disbursed,7.5,Possession Complete,627,0,None,Not Started,21.2,7.0,0.55,High,2022-10-15,545,2024-04-12,0.458,229,Medium
LA-0212,Power Transmission Line Project Rourkela-212,Odisha,Rourkela,Power Transmission Line,33.74,204,Partially Disbursed,23.8,Possession Complete,949,1,Resolved Against,Partially Complete,28.8,5.4,0.41,Medium,2022-09-06,1095,2025-09-05,0.785,318,High
LA-0213,Industrial Corridor Project Lucknow-213,Uttar Pradesh,Lucknow,Industrial Corridor,17.09,110,Partially Disbursed,35.8,Possession Initiated,617,1,Resolved Against,Not Started,89.8,4.6,0.48,High,2024-07-12,365,2025-07-12,0.98,490,High
